,id,ledger_id,account_id,value,concept_id,settled
114,259,RC-00000011,11100505,517500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01,False
115,260,RC-00000011,11100505,482500,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01,False
116,261,RC-00000011,13802005,-517500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01,False
117,262,RC-00000011,13802005,-250000,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01,False
118,263,RC-00000011,13802010,-285000,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01,False
119,264,RC-00000011,913005,517500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01,False
120,265,RC-00000011,913005,250000,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01,False
121,266,RC-00000011,28150505,-465000,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01,False
122,267,RC-00000011,28150505,-250000,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01,False
123,268,RC-00000011,839530,52500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01,False
124,269,RC-00000011,93950505,-52500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01,False
125,270,RC-00000012,11100505,500000,Mensualidad Arriendo Inmueble^2022-02-28_A6N-13N-62-S110^2022-01-30,False
126,271,RC-00000012,13802005,-500000,Mensualidad Arriendo Inmueble^2022-02-28_A6N-13N-62-S110^2022-01-30,False
127,272,RC-00000012,913005,500000,Mensualidad Arriendo Inmueble^2022-02-28_A6N-13N-62-S110^2022-01-30,False
128,273,RC-00000012,28150505,-500000,Mensualidad Arriendo Inmueble^2022-02-28_A6N-13N-62-S110^2022-01-30,False
129,274,RC-00000013,11100505,1190000,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01,False
130,275,RC-00000013,13802005,-1000000,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01,False
131,276,RC-00000013,13802010,-190000,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01,False
132,277,RC-00000013,913005,1000000,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01,False
133,278,RC-00000013,28150505,-1000000,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01,False
134,279,RC-00000014,11100505,2310000,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15,False
135,280,RC-00000014,13802005,-2000000,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15,False
136,281,RC-00000014,13802010,-380000,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15,False
137,282,RC-00000014,913005,2000000,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15,False
138,283,RC-00000014,28150505,-1930000,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15,False
139,284,RC-00000014,839530,70000,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15,False
140,285,RC-00000014,93950505,-70000,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15,False
