,id,name,content_type_id,codename
137,55,Can change Tasa Transacción,14,change_charge_factor
138,56,Can delete Tasa Transacción,14,delete_charge_factor
139,57,Can view Tasa Transacción,14,view_charge_factor
140,72,Can add Correo Electrónico,18,add_e_mail
141,73,Can change Correo Electrónico,18,change_e_mail
142,74,Can delete Correo Electrónico,18,delete_e_mail
143,76,Can activate e-mail.,18,e_mail
144,75,Can view Correo Electrónico,18,view_e_mail
145,68,Can add Datos Tasas,17,add_factor_data
146,69,Can change Datos Tasas,17,change_factor_data
147,70,Can delete Datos Tasas,17,delete_factor_data
148,71,Can view Datos Tasas,17,view_factor_data
149,67,Can activate phone.,16,activate_phone
150,63,Can add Teléfono,16,add_phone
151,64,Can change Teléfono,16,change_phone
152,65,Can delete Teléfono,16,delete_phone
153,66,Can view Teléfono,16,view_phone
154,59,Can add Cuenta PUC,15,add_puc
155,60,Can change Cuenta PUC,15,change_puc
156,61,Can delete Cuenta PUC,15,delete_puc
157,62,Can view Cuenta PUC,15,view_puc
158,21,Can add session,6,add_session
159,22,Can change session,6,change_session
160,23,Can delete session,6,delete_session
161,24,Can view session,6,view_session
