,state_change_user_id,state_change_date,state,code,accountable_ptr_id,subclass_id,doc_date,start_date,end_date
62,1,2022-05-05 21:29:07.003394+00:00,1,A6N-13N-62-S301^2021-08-01,A6N-13N-62-S301^2021-08-01,32,2021-08-01,2021-08-01,
63,1,2022-05-05 21:31:43.280627+00:00,1,A6N-13N-62-S302^2021-08-01,A6N-13N-62-S302^2021-08-01,32,2021-08-01,2021-08-01,
64,1,2022-05-05 22:08:41.074707+00:00,1,A6N-13N-62-S303^2022-03-01,A6N-13N-62-S303^2022-03-01,32,2022-03-01,2022-03-01,
65,1,2022-05-06 15:15:45.414292+00:00,1,A6N-13N-62-S304^2022-04-01,A6N-13N-62-S304^2022-04-01,32,2022-04-01,2022-04-01,
66,1,2022-05-06 15:34:14.485059+00:00,1,A6N-13N-62-S305^2021-02-01,A6N-13N-62-S305^2021-02-01,32,2021-02-01,2021-02-01,
67,1,2022-05-06 15:44:16.414826+00:00,1,A6N-13N-62-S306^2018-06-01,A6N-13N-62-S306^2018-06-01,32,2018-06-01,2018-06-01,
68,1,2022-05-06 15:51:47.356913+00:00,1,A6N-13N-62-S308^2022-03-01,A6N-13N-62-S308^2022-03-01,32,2022-03-01,2022-03-01,
69,1,2022-05-06 16:02:06.659356+00:00,1,A6N-13N-62-S309^2022-03-01,A6N-13N-62-S309^2022-03-01,32,2022-03-01,2022-03-01,
70,1,2022-05-06 16:33:14.551228+00:00,1,A6N-13N-62-S311^2021-11-01,A6N-13N-62-S311^2021-11-01,32,2021-11-01,2021-11-01,
71,1,2022-05-06 20:42:56.316075+00:00,1,A6N-13N-62-S312^2007-06-01,A6N-13N-62-S312^2007-06-01,32,2007-06-01,2007-06-01,
72,1,2022-05-06 20:47:32.188845+00:00,1,A6N-13N-62-S314^2019-06-01,A6N-13N-62-S314^2019-06-01,32,2019-06-01,2019-06-01,
