state,code,country,region,city,street_type,street_number,street_letter,street_bis,street_bis_complement,street_coordinate,numeral_number,numeral_letter,numeral_bis,numeral_bis_complement,numeral_coordinate,height_number,interior_group_type,interior_group_code,interior_type,interior_code,errors
1,C99-14-3,Colombia,Valle del Cauca,Cali,1,99,,False,,,14,,False,,,3,,,,,[]
1,D57-4-49-A1103,Colombia,Valle del Cauca,CALI,3,57,,,,,4,,,,,49,,,0,1103,[]
1,K1-17-37,Colombia,Valle del Cauca,Cali,2,1,,False,,,17,,False,,,37,,,,,[]
1,K1-17-43,Colombia,Valle del Cauca,Cali,2,1,,False,,,17,,False,,,43,,,,,[]
1,K1-17-47,Colombia,Valle del Cauca,Cali,2,1,,False,,,17,,False,,,47,,,,,[]
1,K1-17-53,Colombia,Valle del Cauca,Cali,2,1,,False,,,17,,False,,,53,,,,,[]
1,K1-17-57,Colombia,Valle del Cauca,Cali,2,1,,False,,,17,,False,,,57,,,,,[]
1,K1-17-65,Colombia,Valle del Cauca,Cali,2,1,,False,,,17,,False,,,65,,,,,[]
1,K1-31-84,Colombia,Valle del Cauca,Cali,2,1,,False,,,31,,False,,,84,,,,,[]
1,K1-35-29,Colombia,Valle del Cauca,Cali,2,1,,False,,,35,,False,,,29,,,,,[]
1,K1-35-29-B11,Colombia,Valle del Cauca,Cali,2,1,,False,,,35,,False,,,29,,,3,11,[]
1,K1-35-29-B9,Colombia,Valle del Cauca,Cali,2,1,,False,,,35,,False,,,29,,,3,9,[]
1,K1-59B-21B603,Colombia,Valle del Cauca,CALI,2,1,,,,,59,1,,,,21,0,603,,,"[84, 85]"
1,K10C-17B-15,Colombia,Valle del Cauca,CALI,2,10,2,,,,17,1,,,,15,,,,,[]
1,K11-7-85,Colombia,Valle del Cauca,Cali,2,11,,False,,,7,,False,,,85,,,,,[]
1,K14B-14-50,Colombia,Valle del Cauca,CALI,2,14,1,,,,14,,,,,50,,,,,[]
1,K15-31-16,Colombia,Valle del Cauca,Cali,2,15,,False,,,31,,False,,,16,,,,,[]
1,K1A-67-4,Colombia,Valle del Cauca,CALI,2,1,0,,,,67,,,,,4,,,,,[]
1,K1B-30-16,Colombia,Valle del Cauca,Cali,2,1,1,False,,,30,,False,,,16,,,,,[]
1,K1B-30-34,Colombia,Valle del Cauca,Cali,2,1,1,False,,,30,,False,,,34,,,,,[]
1,K1B-30-52,Colombia,Valle del Cauca,Cali,2,1,1,False,,,30,,False,,,52,,,,,[]
1,K1B-30-76,Colombia,Valle del Cauca,Cali,2,1,1,False,,,30,,False,,,76,,,,,[]
1,K1B-58A-10,Colombia,Valle del Cauca,CALI,2,1,1,,,,58,0,,,,10,,,,,[]
1,K23-13-44,Colombia,Valle del Cauca,CALI,2,23,,,,,13,,,,,44,,,,,[]
1,K24C-2-44,Colombia,Valle del Cauca,CALI,2,24,2,,,,2,,,,,44,,,,,[]
1,K26G-87-29,Colombia,Valle del Cauca,CALI,2,26,6,,,,87,,,,,29,,,,,[]
1,K28-40-21,Colombia,Valle del Cauca,Cali,2,28,,False,,,40,,False,,,21,,,,,[]
1,K28D-3-72,Colombia,Valle del Cauca,CALI,2,28,3,,,,3,,,,,72,,,,,[]
1,K2C-29-36,Colombia,Valle del Cauca,Cali,2,2,2,False,,,29,,False,,,36,,,,,[]
1,K2C-29-54,Colombia,Valle del Cauca,CALI,2,2,2,,,,29,,,,,54,,,,,[]
1,K2C-30-15-B2,Colombia,Valle del Cauca,Cali,2,2,2,False,,,30,,False,,,15,,,3,2,[]
1,K2C-30-15-B3,Colombia,Valle del Cauca,Cali,2,2,2,False,,,30,,False,,,15,,,3,3,[]
1,K2C-30-27,Colombia,Valle del Cauca,Cali,2,2,2,False,,,30,,False,,,27,,,,,[]
1,K2C-30-29,Colombia,Valle del Cauca,Cali,2,2,2,False,,,30,,False,,,29,,,,,[]
1,K2C-30-3,Colombia,Valle del Cauca,Cali,2,2,2,False,,,30,,False,,,3,,,,,[]
1,K2C-30-51,Colombia,Valle del Cauca,Cali,2,2,2,False,,,30,,False,,,51,,,,,[]
1,K2C-30-9,Colombia,Valle del Cauca,Cali,2,2,2,False,,,30,,False,,,9,,,,,[]
1,K2C-39-34,Colombia,Valle del Cauca,CALI,2,2,2,,,,39,,,,,34,,,,,[]
1,K2N-21-53,Colombia,Valle del Cauca,Cali,2,2,,False,,0,21,,False,,,53,,,,,[]
1,K30-9C-54,Colombia,Valle del Cauca,CALI,2,30,,,,,9,2,,,,54,,,,,[]
1,K38-14-70,Colombia,Valle del Cauca,Cali,2,38,,False,,,14,,False,,,70,,,,,[]
1,K38E-3-88,Colombia,Valle del Cauca,CALI,2,38,4,,,,3,,,,,88,,,,,[]
1,K39-12A-180,Colombia,Valle del Cauca,CALI,2,39,,,,,12,0,,,,180,,,,,[]
1,K3N-39-59,Colombia,Valle del Cauca,CALI,2,3,,,,0,39,,,,,59,,,,,[]
1,K3N-67-4,Colombia,Valle del Cauca,CALI,2,3,,,,0,67,,,,,4,,,,,[]
1,K4-14-50-O708,Colombia,Valle del Cauca,CALI,2,4,,,,,14,,,,,50,,,2,708,[]
1,K4-16-47,Colombia,Valle del Cauca,CALI,2,4,,,,,16,,,,,47,,,,,[]
1,K4-16-9,Colombia,Valle del Cauca,Cali,2,4,,False,,,16,,False,,,9,,,,,[]
1,K4-67M-17,Colombia,Valle del Cauca,CALI,2,4,,,,,67,13,,,,17,,,,,[]
1,K40-12A-13,Colombia,Valle del Cauca,Medellin,2,40,,False,,,12,0,False,,,13,,,,,[]
1,K41F-56-61,Colombia,Valle del Cauca,Cali,2,41,5,False,,,56,,False,,,61,,,,,[]
1,K45-23S-57,Colombia,Valle del Cauca,Bogota,2,45,,False,,,23,,False,,1,57,,,,,[]
1,K46-25S-31-C32,Colombia,Envigado,Antioquia,2,46,,,,,25,,,,1,31,,,7,32,[]
1,K47A-13B-49,Colombia,Valle del Cauca,CALI,2,47,0,,,,13,1,,,,49,,,,,[]
