code,accountable_ptr_id,doc_date,start_date,end_date,monthly_dates
A6N-13N-62-S222^2022-06-01,A6N-13N-62-S222^2022-06-01,2022-06-01,2022-06-01,,"[datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S301^2021-08-01,A6N-13N-62-S301^2021-08-01,2021-08-01,2022-01-01,2022-07-31,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1)]"
A6N-13N-62-S302^2021-08-01,A6N-13N-62-S302^2021-08-01,2021-08-01,2021-12-01,,"[datetime.date(2021, 12, 1), datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S303^2022-03-01,A6N-13N-62-S303^2022-03-01,2022-03-01,2022-02-07,,"[datetime.date(2022, 2, 7), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S304^2022-04-01,A6N-13N-62-S304^2022-04-01,2022-04-01,2022-04-01,,"[datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S305^2021-02-01,A6N-13N-62-S305^2021-02-01,2021-02-01,2022-01-01,,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S306^2018-06-01,A6N-13N-62-S306^2018-06-01,2018-06-01,2021-11-01,,"[datetime.date(2021, 11, 1), datetime.date(2021, 12, 1), datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S308^2022-03-01,A6N-13N-62-S308^2022-03-01,2022-03-01,2022-03-01,2022-05-31,"[datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1)]"
A6N-13N-62-S308^2022-07-01,A6N-13N-62-S308^2022-07-01,2022-07-01,2022-07-01,,"[datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S309^2022-03-01,A6N-13N-62-S309^2022-03-01,2022-03-01,2022-03-01,,"[datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
