code,country,region,city,street_type,street_number,street_letter,street_bis,street_bis_complement,street_coordinate,numeral_number,numeral_letter,numeral_bis,numeral_bis_complement,numeral_coordinate,height_number,interior_group_type,interior_group_code,interior_type,interior_code,errors
K15-31-16,Colombia,Valle del Cauca,Cali,2,15,,False,,,31,,False,,,16,,,,,[]
K1A-67-4,Colombia,Valle del Cauca,CALI,2,1,0,,,,67,,,,,4,,,,,[]
K1B-30-16,Colombia,Valle del Cauca,Cali,2,1,1,False,,,30,,False,,,16,,,,,[]
K1B-30-34,Colombia,Valle del Cauca,Cali,2,1,1,False,,,30,,False,,,34,,,,,[]
K1B-30-52,Colombia,Valle del Cauca,Cali,2,1,1,False,,,30,,False,,,52,,,,,[]
K1B-30-76,Colombia,Valle del Cauca,Cali,2,1,1,False,,,30,,False,,,76,,,,,[]
K1B-58A-10,Colombia,Valle del Cauca,CALI,2,1,1,,,,58,0,,,,10,,,,,[]
K23-13-44,Colombia,Valle del Cauca,CALI,2,23,,,,,13,,,,,44,,,,,[]
K24C-2-44,Colombia,Valle del Cauca,CALI,2,24,2,,,,2,,,,,44,,,,,[]
K26G-87-29,Colombia,Valle del Cauca,CALI,2,26,6,,,,87,,,,,29,,,,,[]
K28-40-21,Colombia,Valle del Cauca,Cali,2,28,,False,,,40,,False,,,21,,,,,[]
K28D-3-72,Colombia,Valle del Cauca,CALI,2,28,3,,,,3,,,,,72,,,,,[]
K2C-29-36,Colombia,Valle del Cauca,Cali,2,2,2,False,,,29,,False,,,36,,,,,[]
K2C-29-54,Colombia,Valle del Cauca,CALI,2,2,2,,,,29,,,,,54,,,,,[]
K2C-30-15-B2,Colombia,Valle del Cauca,Cali,2,2,2,False,,,30,,False,,,15,,,3,2,[]
K2C-30-15-B3,Colombia,Valle del Cauca,Cali,2,2,2,False,,,30,,False,,,15,,,3,3,[]
K2C-30-27,Colombia,Valle del Cauca,Cali,2,2,2,False,,,30,,False,,,27,,,,,[]
K2C-30-29,Colombia,Valle del Cauca,Cali,2,2,2,False,,,30,,False,,,29,,,,,[]
K2C-30-3,Colombia,Valle del Cauca,Cali,2,2,2,False,,,30,,False,,,3,,,,,[]
K2C-30-51,Colombia,Valle del Cauca,Cali,2,2,2,False,,,30,,False,,,51,,,,,[]
K2C-30-9,Colombia,Valle del Cauca,Cali,2,2,2,False,,,30,,False,,,9,,,,,[]
K2C-39-34,Colombia,Valle del Cauca,CALI,2,2,2,,,,39,,,,,34,,,,,[]
K2N-21-53,Colombia,Valle del Cauca,Cali,2,2,,False,,0,21,,False,,,53,,,,,[]
K30-9C-54,Colombia,Valle del Cauca,CALI,2,30,,,,,9,2,,,,54,,,,,[]
K38-14-70,Colombia,Valle del Cauca,Cali,2,38,,False,,,14,,False,,,70,,,,,[]
K38E-3-88,Colombia,Valle del Cauca,CALI,2,38,4,,,,3,,,,,88,,,,,[]
K39-12A-180,Colombia,Valle del Cauca,CALI,2,39,,,,,12,0,,,,180,,,,,[]
K3N-39-59,Colombia,Valle del Cauca,CALI,2,3,,,,0,39,,,,,59,,,,,[]
K3N-67-4,Colombia,Valle del Cauca,CALI,2,3,,,,0,67,,,,,4,,,,,[]
K4-14-50-O708,Colombia,Valle del Cauca,CALI,2,4,,,,,14,,,,,50,,,2,708,[]
K4-16-47,Colombia,Valle del Cauca,CALI,2,4,,,,,16,,,,,47,,,,,[]
K4-16-9,Colombia,Valle del Cauca,Cali,2,4,,False,,,16,,False,,,9,,,,,[]
K4-67M-17,Colombia,Valle del Cauca,CALI,2,4,,,,,67,13,,,,17,,,,,[]
K40-12A-13,Colombia,Valle del Cauca,Medellin,2,40,,False,,,12,0,False,,,13,,,,,[]
K41F-56-61,Colombia,Valle del Cauca,Cali,2,41,5,False,,,56,,False,,,61,,,,,[]
K45-23S-57,Colombia,Valle del Cauca,Bogota,2,45,,False,,,23,,False,,1,57,,,,,[]
