class,realty,estate,percentage
Realty_Estate,C31-1B-44,760010100040200230001000000001,85.93
Realty_Estate,C31-1B-44,760010100040200230003000000003,12.69
Realty_Estate,C31-1B-44,760010100040200230004000000004,1.38
Realty_Estate,C31-1B-54,760010100040200230004000000004,95.06
Realty_Estate,C31-1B-54,760010100040200230005000000005,4.94
Realty_Estate,C31-1B-64,760010100040200230001000000001,100
Realty_Estate,C31-1B-74,760010100040200230001000000001,100
Realty_Estate,C31-1B-80,760010100040200230001000000001,100
Realty_Estate,K2C-29-36,760010100040100050006000000006,100
Realty_Estate,K1-35-29-B9,760010100041700100010000000010,100
Realty_Estate,K1-35-29-B11,760010100041700100010000000010,100
