class,code,name
PUC,159928,equipo de computacion y comunicacion
PUC,159932,equipo medico cientifico
PUC,159936,equipo de hoteles y restaurantes
PUC,159940,flota y equipo de transporte
PUC,159944,flota y equipo fluvial y/o maritimo
PUC,159948,flota y equipo aereo
PUC,159952,flota y equipo ferreo
PUC,159956,"acueductos, plantas y redes"
PUC,159960,armamento de vigilancia
PUC,159962,envases y empaques
PUC,159964,plantaciones agricolas y forestales
PUC,159968,vias de comunicacion
PUC,159972,minas y canteras
PUC,159980,pozos artesianos
PUC,159984,yacimientos
PUC,159988,semovientes
PUC,159992,propiedades planta y equipo en transito
PUC,16,intangibles
PUC,1605,credito mercantil
PUC,160505,formado o estimado
PUC,160510,adquirido o comprado
PUC,160599,ajustes por inflacion
PUC,1610,marcas
PUC,161005,adquiridas
PUC,161010,formadas
PUC,161099,ajustes por inflacion
PUC,1615,patentes
PUC,161505,adquiridas
PUC,161510,formadas
PUC,161599,ajustes por inflacion
PUC,1620,concesiones y franquicias
PUC,162005,concesiones
PUC,162010,franquicias
PUC,162099,ajustes por inflacion
PUC,1625,derechos
PUC,162505,derechos de autor
PUC,162510,puesto de bolsa
PUC,162515,en fideicomisos inmobiliarios
PUC,162520,en fideicomisos de garantia
PUC,162525,en fideicomisos de administracion
PUC,162595,otros
PUC,162599,ajustes por inflacion
PUC,1630,know how
PUC,163099,ajustes por inflacion
PUC,1635,licencias
PUC,163599,ajustes por inflacion
PUC,1698,amortizacion acumulada
PUC,169805,credito mercantil
PUC,169810,marcas
PUC,169815,patentes
PUC,169820,concesiones y franquicias
PUC,169830,derechos
PUC,169835,know how
PUC,169840,licencias
PUC,169899,ajustes por inflacion
PUC,1699,provisiones
PUC,17,diferidos
PUC,1705,gastos pagados por anticipado
PUC,170505,intereses
PUC,170510,honorarios
PUC,170515,comisiones
PUC,170520,seguros y fianzas
PUC,170525,arrendamientos
PUC,170530,bodegajes
PUC,170535,mantenimiento equipos
PUC,170540,servicios
PUC,170545,suscripciones
PUC,170595,otros
PUC,1710,cargos diferidos
PUC,171004,organizacion y preoperativos
PUC,171008,remodelaciones
PUC,171012,"estudios, investigaciones y proyectos"
PUC,171016,programas para computador (software)
PUC,171020,utiles y papeleria
PUC,171024,mejoras a propiedades ajenas
PUC,171028,contribuciones y afiliaciones
PUC,171032,entrenamiento de personal
PUC,171036,ferias y exposiciones
PUC,171040,licencias
