country,region,city,street_type,street_number,street_letter,street_bis,street_bis_complement,street_coordinates,numeral_number,numeral_letter,numeral_coordinates,height_number,interior_group_type,interior_group_code,interior_type,interior_code
Colombia,Valle del Cauca,Cali,2,1,-9999,FALSE,-9999,-9999,17,-9999,-9999,65,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,1,18,-9999,FALSE,-9999,-9999,1,-9999,0,33,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,1,18,-9999,FALSE,-9999,-9999,1,-9999,0,39,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,1,18,-9999,FALSE,-9999,-9999,1,-9999,0,41,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,1,18,-9999,FALSE,-9999,-9999,1,-9999,0,43,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,1,30,-9999,FALSE,-9999,-9999,1,1,-9999,13,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,1,30,-9999,FALSE,-9999,-9999,1,1,-9999,15,-9999,ZZZZZ,3,1
Colombia,Valle del Cauca,Cali,1,30,-9999,FALSE,-9999,-9999,1,1,-9999,15,-9999,ZZZZZ,3,2
Colombia,Valle del Cauca,Cali,1,30,-9999,FALSE,-9999,-9999,1,1,-9999,15,-9999,ZZZZZ,3,3
Colombia,Valle del Cauca,Cali,1,30,-9999,FALSE,-9999,-9999,1,1,-9999,15,-9999,ZZZZZ,3,5
Colombia,Valle del Cauca,Cali,1,30,-9999,FALSE,-9999,-9999,1,1,-9999,27,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,1,30,-9999,FALSE,-9999,-9999,1,1,-9999,31,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,1,31,-9999,FALSE,-9999,-9999,1,1,-9999,4,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,1,31,-9999,FALSE,-9999,-9999,1,1,-9999,24,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,1,31,-9999,FALSE,-9999,-9999,1,1,-9999,34,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,1,31,-9999,FALSE,-9999,-9999,1,1,-9999,44,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,1,31,-9999,FALSE,-9999,-9999,1,1,-9999,54,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,1,31,-9999,FALSE,-9999,-9999,1,1,-9999,64,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,1,31,-9999,FALSE,-9999,-9999,1,1,-9999,74,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,1,31,-9999,FALSE,-9999,-9999,1,1,-9999,80,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,2,1,1,FALSE,-9999,-9999,30,-9999,-9999,16,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,2,1,1,FALSE,-9999,-9999,30,-9999,-9999,34,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,2,1,1,FALSE,-9999,-9999,30,-9999,-9999,52,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,2,1,1,FALSE,-9999,-9999,30,-9999,-9999,76,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,2,2,2,FALSE,-9999,-9999,30,-9999,-9999,3,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,2,2,2,FALSE,-9999,-9999,30,-9999,-9999,9,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,2,2,2,FALSE,-9999,-9999,30,-9999,-9999,15,-9999,ZZZZZ,3,2
Colombia,Valle del Cauca,Cali,2,2,2,FALSE,-9999,-9999,30,-9999,-9999,15,-9999,ZZZZZ,3,3
