accountable_id,date,value
C31-1B-44^2013-12-03,03/12/2014,
C31-1B-44^2013-12-03,03/12/2015,
C31-1B-44^2013-12-03,03/12/2016,
C31-1B-44^2013-12-03,03/12/2017,
C31-1B-44^2013-12-03,03/12/2018,
C31-1B-44^2013-12-03,03/12/2019,
C31-1B-44^2013-12-03,03/12/2020,
C31-1B-44^2013-12-03,03/12/2021,
C31-1B-54^2016-02-15,15/02/2017,
C31-1B-54^2016-02-15,15/02/2018,
C31-1B-54^2016-02-15,15/02/2019,
C31-1B-54^2016-02-15,15/02/2020,
C31-1B-54^2016-02-15,15/02/2021,
C31-1B-54^2016-02-15,15/02/2022,
C31-1B-64^2018-12-01,01/12/2019,
C31-1B-64^2018-12-01,01/12/2020,
C31-1B-64^2018-12-01,01/12/2021,
